date,close,volume,ma_3,ma_6,rsi,bb_ma,bb_upper,bb_lower,month,quarter
2023-01-01,312.3610534667969,17539133618,286.50153096516925,291.54928334554035,57.28694354396806,295.0428192138672,383.01127040415855,207.0743680235758,1,1
2023-02-01,301.4748229980469,16694454179,286.7283579508464,295.25540415445965,55.44931681336722,287.41351928710935,354.1714277820223,220.6556107921964,2,1
2023-03-01,317.0400085449219,18474039541,310.2919616699219,300.73002370198566,57.651701609556305,287.0690093994141,353.0999897823446,221.03802901648356,3,1
2023-04-01,337.6455383300781,21041891968,318.7201232910156,302.61082712809247,52.922312440807886,298.90355377197267,352.1326118110089,245.6744957329364,4,2
2023-05-01,306.86669921875,14496929395,320.5174153645833,303.62288665771484,51.531159380810756,301.2322769165039,353.51081703577154,248.95373679723627,5,2
2023-06-01,240.36978149414065,16727991930,294.96067301432294,302.6263173421224,48.57866161833238,297.34544525146487,361.35508965851903,233.3358008444107,6,2
2023-07-01,241.1206512451172,15855392214,262.78571065266925,290.75291697184247,25.448494598923432,293.03828125,366.13329759413534,219.9432649058647,7,3
2023-08-01,216.59779357910156,14006470634,232.69607543945312,276.60674540201825,23.262058124646032,282.0619888305664,365.19362904059926,198.93034862053355,8,3
2023-09-01,214.82130432128903,11433150481,224.17991638183594,259.5702946980794,14.735512328558855,273.4646850585938,365.3117291264901,181.61764099069745,9,3
2023-10-01,226.43994140625,11008246168,219.28634643554688,241.03602854410806,9.098931382226098,271.47375946044923,366.73286315041975,176.2146557704787,10,4
2023-11-01,227.68380737304688,23107989899,222.98168436686197,227.83887990315756,12.79336451924398,263.0060348510742,357.15941650425304,168.85265319789536,11,4
2023-12-01,312.4356994628906,32486490577,255.51981608072916,239.84986623128256,78.90391945184955,264.1021224975586,360.474924962184,167.7293200329332,12,4
2024-01-01,300.35107421875,32721901807,280.1568603515625,249.7216033935547,71.77615222350713,262.43322906494143,355.24385595245576,169.62260217742707,1,1
2024-02-01,399.7787170410156,36289269153,337.52183024088544,280.2517573038737,93.42773479680464,268.6465469360352,388.2791631780376,149.01393069403278,2,1
2024-03-01,606.9086303710938,94949494805,435.6794738769531,345.5996449788411,97.09683259670135,298.6507400512695,544.6497079437645,52.65177215877458,3,1
2024-04-01,578.488037109375,45986937272,528.3917948404948,404.2743275960286,90.64671044536817,332.46256561279296,630.336293278884,34.588837946701915,4,2
2024-05-01,593.5223388671875,50179462019,592.9730021158854,465.24741617838544,90.93536712386341,367.702734375,699.0500644772183,36.355404272781755,5,2
2024-06-01,581.7711181640625,61047988508,584.5938313802084,510.13665262858075,86.0220202655274,404.2200668334961,741.9821683385444,66.45796532844781,6,2
2024-07-01,576.3681640625,55438146309,583.88720703125,556.1395009358724,87.5874426371978,440.3747528076172,765.1849515316158,115.56455408361865,7,3
2024-08-01,532.89697265625,57584460981,563.6787516276041,578.3258768717448,71.38719529385692,471.0204559326172,762.2091409426037,179.83177092263077,8,3
2024-09-01,567.2600708007812,51504612364,558.8417358398438,571.717783610026,35.68058455482979,504.97808227539065,744.6978707271633,265.25829382361803,9,3
2024-10-01,576.0344848632812,52569812868,558.7305094401041,571.3088582356771,48.96733565457392,531.3379608154297,731.6993669435968,330.9765546872626,10,4
2024-11-01,654.3291625976562,73318424921,599.2079060872396,581.4433288574219,66.69989013792602,566.7357696533203,699.3461507262584,434.1253885803822,11,4
2024-12-01,700.9868774414062,73880285694,643.7835083007812,601.3126220703125,77.473620426141,596.8565856933594,692.6421600302517,501.0710113564671,12,4
2025-01-01,677.3753662109375,57534292446,677.5638020833334,618.1471557617188,71.47512060519045,603.9032592773438,712.4883941157148,495.3181244389728,1,1
2025-02-01,587.4515991210938,61602507924,655.2712809244791,627.2395935058594,59.68567971501558,604.7996154785156,712.5974405490449,497.0017904079864,2,1
2025-03-01,605.0728149414062,55233779657,623.2999267578125,633.5417175292969,57.13762325316463,605.9546630859375,713.4625775703676,498.44674860150735,3,1
2025-04-01,599.6817016601562,47764209865,597.4020385742188,637.482920328776,54.5214563665153,607.7457214355469,714.0530716000056,501.4383712710882,4,2
2025-05-01,658.5012817382812,55270892717,621.0852661132812,638.1782735188802,50.86191939346376,615.959033203125,724.1662612750183,507.7518051312318,5,2
2025-06-01,657.0253295898438,47789445181,638.4027709960938,630.8513488769531,38.83335534830475,628.3718688964843,721.684150719718,535.0595870732507,6,2
2025-07-01,783.6668090820312,70155270170,699.7311401367188,648.5665893554688,67.7227367288532,650.0125427246094,775.2498078678768,524.7752775813419,7,3
2025-08-01,857.8167724609375,81891755107,766.1696370442709,693.627451578776,97.58286439699546,678.190771484375,848.2359385525124,508.14560441623763,8,3
2025-09-01,1008.4834594726562,88990808507,883.3223470052084,760.862559000651,98.35379325481016,713.606201171875,981.138890063555,446.0735122801951,9,3
2025-10-01,1088.9554443359375,177161055873,985.0852254231771,842.4081827799479,99.70014724801216,752.4030578613281,1109.375985736338,395.43012998631815,10,4
2025-11-01,877.5767822265625,85219553738,991.6718953450521,878.9207661946615,66.98826683028918,772.4231994628906,1133.1311492504283,411.71524967535294,11,4
2025-12-01,863.2573852539062,66771031867,943.2632039388021,913.2927754720052,65.67998938241676,800.0037780761719,1139.4002879441152,460.60726820822856,12,4
2026-01-01,942.005615234375,26966895653,894.2799275716146,939.6825764973959,62.98423297057017,833.6970581054687,1153.4132862586014,513.9808299523361,1,1
